episode	win_rate	score
488000		97.7	124369
489000		97.1	123086
490000		97	123005
491000		98.2	122386
492000		97.1	123413
493000		97.8	124873
494000		97.8	124650
495000		98.4	126686
496000		97.4	122572
497000		97.6	127041
498000		98.2	125598
499000		97.8	122551
500000		98	126239
501000		97.9	123807
502000		97.5	122111
503000		96.9	122302
504000		97.8	125162
505000		97.9	124867
506000		98.7	124405
507000		98.1	125448
508000		98.3	121797
509000		97.7	124692
510000		97.8	124298
511000		98.8	122684
512000		98.6	125293
513000		97.3	124404
514000		98	123565
515000		98	123276
516000		98.1	124174
517000		97	123907
518000		97.8	125717
519000		97.8	124434
520000		97.3	124466
521000		97.3	124929
522000		98	123503
523000		97.8	125278
524000		98.5	124403
525000		97.4	125322
526000		98.2	122932
527000		98.8	125409
528000		97.6	125074
529000		97.8	123416
530000		98.3	123408
531000		97.5	123804
532000		97.5	123380
533000		97.6	123780
534000		97.2	121921
535000		98	123881
536000		98.3	122152
537000		97.4	122895
538000		98.1	121800
539000		98.3	123466
540000		97.6	123891
541000		97	123483
542000		96.8	122460
543000		97.2	123262
544000		98.7	126060
545000		98.4	124985
546000		98.2	124933
547000		97.6	124021
548000		98.2	124647
549000		97.7	124496
550000		97.4	125001
551000		97.5	123819
552000		97.3	121025
553000		97.8	123481
554000		97.5	125212
555000		97.8	122751
556000		98.7	125338
557000		97.7	124449
558000		98.5	128039
559000		97.7	124630
560000		97.7	123982
561000		96.6	122428
562000		97.5	126152
563000		97.9	124708
564000		96.8	123424
565000		97.7	123463
566000		97.4	124030
567000		98	126927
568000		97.9	126942
569000		97.5	123084
570000		97.8	122381
571000		97.2	123404
572000		97.6	123799
573000		97.5	122790
574000		97.8	126958
575000		97.7	123890
576000		97.4	123627
577000		97.6	124095
578000		98.1	125364
579000		97.8	124449
580000		96.4	120925
581000		97.4	123103
582000		96.8	125883
583000		97.8	122690
584000		98.4	123068
585000		97.4	123403
586000		97.3	123929
587000		98.2	123719
588000		97.4	122684
589000		96.9	122100
590000		97.9	124304
591000		98	124692
592000		98.5	125145
593000		97.8	124502
594000		97	120627
595000		97.3	123500
596000		98.1	125138
597000		98.6	124575
598000		97.6	125705
599000		97.5	124031
600000		96.7	124290
601000		96.9	122540
602000		97.3	125075
603000		97	122476
604000		98	124984
605000		98.6	125824
606000		98.6	127425
607000		98	124600
608000		98.2	124557
609000		97.6	123524
610000		97.1	124269
611000		98.4	126686
612000		97.5	121566
613000		97.8	123249
614000		97.2	122911
615000		97.6	123914
616000		97.8	123741
617000		98.4	125199
618000		97.3	122754
619000		97.8	123212
620000		97.6	122200
621000		98.2	123382
622000		97.3	125824
623000		97.9	126267
624000		98	124985
625000		96.9	123167
626000		97.9	123492
627000		97.5	121526
628000		97	125423
629000		97.8	122963
630000		97.6	125097
631000		96.9	122489
632000		97.5	125561
633000		97.6	125763
634000		97.3	123047
635000		97.8	122530
636000		97.3	125488
637000		97.2	125098
638000		97.4	125432
639000		97	124343
640000		98.2	125728
641000		98.1	124603
642000		97.5	125832
643000		97.3	123317
644000		97.4	122225
645000		96.9	123603
646000		98.1	122892
647000		97.8	124697
648000		97.1	124968
649000		97	124686
650000		97.9	123680
651000		97.9	123879
652000		96.9	121248
653000		97.3	123479
654000		97.2	125017
655000		98.5	125240
656000		98.5	126050
657000		97.9	125093
658000		97.7	124409
659000		96.5	124273
660000		97.8	123469
661000		97.5	122926
662000		98	125034
663000		97.7	125829
664000		96.7	121614
665000		96.9	123777
666000		98	122758
667000		98.4	126337
668000		97.6	122772
669000		97.6	124029
670000		97.8	126126
671000		98.1	124557
672000		98.3	124331
673000		97.2	125375
674000		97.8	125494
675000		97.7	123139
676000		97.2	125341
677000		98.1	124742
678000		97.7	123030
679000		97.5	127041
680000		97.7	124908
681000		97.9	123671
682000		97.4	125982
683000		97.5	125838
684000		97.5	121918
685000		96.4	121900
686000		97.9	123890
687000		96.9	122205
688000		96.8	124678
689000		97.5	124901
690000		97.3	122862
691000		97.9	125939
692000		98.1	124513
693000		97.8	124022
694000		97.5	124828
695000		98.2	123356
696000		96.5	122817
697000		98.7	125293
698000		97.9	121827
699000		98.5	124306
700000		97.9	125517
701000		98.1	124128
702000		97.9	125559
703000		96.8	123049
704000		97.4	124339
705000		97.6	123883
706000		97.7	125863
707000		97.6	126085
708000		97	124140
709000		97.5	121597
710000		97.7	125133
711000		98	124690
712000		98.3	125594
713000		98.2	126302
714000		98.4	124606
715000		98.2	126192
716000		97.1	122723
717000		97.5	122015
718000		97.4	123949
719000		98.3	125047
720000		98.2	124870
721000		98.1	125256
722000		97.6	125044
723000		97.8	123221
724000		97.7	124748
725000		98	124522
726000		98.2	126458
727000		97.4	123607
728000		97	124870
729000		97	126430
730000		97.7	125109
731000		97.8	125685
732000		97.9	123118
733000		98.1	124263
734000		98.3	125793
735000		98	122005
736000		97.7	122727
737000		97.1	126439
738000		97	122541
739000		97.2	123687
740000		98.1	124595
741000		97.2	125003
742000		98	123921
743000		97	124472
744000		98.7	128357
745000		98.1	121928
746000		98.2	126721
747000		97.6	124251
748000		98.2	125685
749000		97.2	125706
750000		97.3	124534
751000		97.6	124670
752000		97.5	121929
753000		98.3	126976
754000		98.1	126397
755000		97.6	124615
756000		97.6	125783
757000		97.7	126933
758000		96.9	125232
759000		97.1	120774
760000		98	124514
761000		98.1	125650
762000		96.9	123254
763000		98	122988
764000		97.2	123408
765000		98.8	123827
766000		97.8	124211
767000		97.2	124279
768000		98.4	126698
769000		96.7	125439
770000		97.2	122076
771000		98	124545
772000		98	126160
773000		97.7	123961
774000		97.7	123963
775000		97.1	125464
776000		98.7	125861
777000		97.2	124341
778000		98.3	123063
779000		97	123228
780000		98.2	125022
781000		97.5	123977
782000		97.6	123595
783000		97.4	123853
784000		97.2	124555
785000		97.3	125311
786000		98	125652
787000		98.1	125309
788000		97.3	124926
789000		97.8	121783
790000		97.8	125633
791000		97.5	124226
792000		98.4	125455
793000		97.8	123148
794000		97.3	124517
795000		97.2	122863
796000		97.2	122792
797000		97.5	124299
798000		97.9	126647
799000		97.8	124439
800000		97.5	124119
801000		97.6	124619
802000		97.3	123600
803000		98.4	124021
804000		97.8	124218
805000		97.9	124367
806000		98	122364
807000		97.8	125052
808000		97.5	125052
809000		97.3	126395
810000		97.6	122170
811000		97.9	125095
812000		97.5	125489
813000		98.8	125274
814000		97.6	124521
815000		97.5	124892
816000		98.4	128261
817000		97.5	123437
818000		98.2	126411
819000		98.5	125375
820000		97.6	123503
821000		98.2	126548
822000		97.1	125833
823000		98.3	129574
824000		97	125591
825000		98	125348
826000		97.2	124952
827000		98.5	124798
828000		97.8	127786
829000		97.9	123700
830000		97.1	124411
831000		98.2	124762
832000		98	128211
833000		97.9	124033
834000		98	124667
835000		96.5	123008
836000		98.1	127162
837000		98.4	127438
838000		97.2	125794
839000		98.3	125853
840000		97.9	125959
841000		98.5	126006
842000		98.1	125118
843000		97.4	124005
844000		97.6	124800
845000		97.8	126168
846000		97.5	123932
847000		97.7	124272
848000		97	124165
849000		98.1	122894
850000		97.1	123543
851000		97.2	124236
852000		97.7	126536
853000		97.4	124334
854000		97.9	125511
855000		98	124768
856000		97.4	123464
857000		97.5	125734
858000		97.1	124742
859000		97.3	126719
860000		97.9	125774
861000		97.5	125277
862000		97.9	126545
863000		97.7	125524
864000		97.3	125687
865000		97.1	124528
866000		97.7	125327
867000		97.6	124347
868000		98.1	123453
869000		98.2	127335
870000		97.8	125129
871000		97.6	124683
872000		98	127035
873000		97.3	126602
874000		97.8	124925
875000		97.2	124006
876000		97.7	125627
877000		97.7	123611
878000		97.3	126581
879000		96.7	125835
880000		97.2	125981
881000		97.4	124523
882000		97.7	124726
883000		98.5	123946
884000		97.6	125053
885000		97.6	123400
886000		97.2	124986
887000		97.6	125677
888000		97.5	122848
889000		97.9	125659
890000		97.2	124322
891000		97.4	122555
892000		97.5	125359
893000		97.6	126651
894000		98	125820
895000		97.4	124352
896000		97.6	125293
897000		97.1	125160
898000		97.3	125660
899000		98.4	122056
900000		97.9	125701
901000		97.1	125751
902000		97.6	123692
903000		97.5	124673
904000		97.2	124637
905000		97.8	126328
906000		97.2	126504
907000		98	122688
908000		97.3	127079
909000		97.6	126523
910000		97.7	125535
911000		97.7	125751
912000		97.2	125626
913000		97.9	124569
914000		96.8	125254
915000		97.3	122848
916000		97.7	126370
917000		97.5	125955
918000		98.1	127475
919000		98	123168
920000		97.7	126876
921000		97.2	124543
922000		97.7	126998
923000		97.9	126515
924000		96.9	124797
925000		98.3	127061
926000		98	127341
927000		97.4	124838
928000		98.1	125042
929000		97.9	124111
930000		97.9	125428
931000		97.2	125878
932000		97.4	123625
933000		97.2	126411
934000		98.1	126929
935000		97.5	125575
936000		97.9	125142
937000		97.9	124186
938000		97.7	125833
939000		97.5	125525
940000		97.9	125524
941000		97.7	126678
942000		96.5	124090
943000		97.8	124530
944000		98.1	123274
945000		97.7	124400
946000		98	123945
947000		97.4	123791
948000		97	125651
949000		97.8	127585
950000		97.9	127970
951000		97.6	127225
952000		97.5	128133
953000		97.8	127116
954000		97.6	125301
955000		97.3	126490
956000		97.1	125082
957000		97.5	126468
958000		97.4	125572
959000		98	127139
960000		97.1	124696
961000		96.4	123239
962000		96.9	124342
963000		97.6	124403
964000		97.6	125020
965000		97.1	126951
966000		97.7	127242
967000		97.7	126789
968000		98.1	125596
969000		96.9	128019
970000		98.7	126247
971000		98.1	124075
972000		97	123938
973000		97.5	128917
974000		97.3	124590
975000		98.2	126310
976000		97.3	125032
977000		97.5	122512
978000		97.2	123046
979000		97.4	124037
980000		97	126779
981000		97	125688
982000		97.1	124524
983000		97.3	123575
984000		97.8	122074
985000		98	125948
986000		98.1	126388
987000		97.5	127528
988000		96.8	124239
989000		98.1	126797
990000		97.4	128180
991000		97.7	125614
992000		97.4	125530
993000		97.7	125270
994000		97	124545
995000		96.9	125638
996000		98	125813
997000		97.8	126011
998000		97.7	125647
999000		97.9	125888
1000000		98.1	124873
